skills,role
Python Machine Learning NLP Scikit-Learn,Machine Learning Engineer
Python Deep Learning TensorFlow NLP,Machine Learning Engineer
Python PyTorch Computer Vision Deep Learning,Machine Learning Engineer
Python Pandas NumPy Machine Learning,Machine Learning Engineer
Python Scikit-Learn TF-IDF NLP,Machine Learning Engineer
Python Deep Learning Neural Networks,Machine Learning Engineer
Python TensorFlow Feature Engineering,Machine Learning Engineer
Python PyTorch Transformers NLP,Machine Learning Engineer
Python Machine Learning Model Evaluation,Machine Learning Engineer
Python Data Science Machine Learning NLP,Machine Learning Engineer

Python Statistics Machine Learning Data Science,Data Scientist
Python Pandas NumPy Data Science,Data Scientist
Python Machine Learning Statistics SQL,Data Scientist
Python Deep Learning Data Science,Data Scientist
Python Feature Engineering Data Science,Data Scientist
Python EDA Data Visualization Statistics,Data Scientist
Python Pandas SQL Data Analysis,Data Scientist
Python Model Training Data Science,Data Scientist
Python Machine Learning Data Mining,Data Scientist
Python NumPy Pandas Statistics,Data Scientist

Python SQL Pandas Power BI,Data Analyst
SQL Tableau Data Visualization,Data Analyst
Excel Power BI SQL Analytics,Data Analyst
Python Data Analysis Tableau,Data Analyst
Pandas NumPy Data Analysis,Data Analyst
SQL Excel Tableau,Data Analyst
Power BI Dashboard Analytics,Data Analyst
Data Visualization Statistics Excel,Data Analyst
Python SQL Data Analysis,Data Analyst
Pandas Excel Power BI,Data Analyst

Python Deep Learning NLP Transformers,AI Engineer
Python Generative AI LLM NLP,AI Engineer
Python Transformers Neural Networks,AI Engineer
Python LLM Deep Learning,AI Engineer
Generative AI NLP Python,AI Engineer
Transformers NLP Deep Learning,AI Engineer
Python Computer Vision AI,AI Engineer
Python PyTorch AI Deep Learning,AI Engineer
LLM NLP Transformers Python,AI Engineer
Generative AI Machine Learning Python,AI Engineer

Java OOP Data Structures Algorithms,Software Developer
Java Git GitHub OOP,Software Developer
C++ Data Structures Algorithms,Software Developer
Java SQL OOP Git,Software Developer
Python Java OOP Algorithms,Software Developer
Java Backend Development SQL,Software Developer
C++ OOP Problem Solving,Software Developer
Java Data Structures GitHub,Software Developer
Python OOP Software Development,Software Developer
Java Algorithms Database Design,Software Developer

Java Spring Boot SQL,Backend Developer
Java Hibernate MySQL APIs,Backend Developer
Spring Boot REST API Java,Backend Developer
Java Backend Development Database Design,Backend Developer
Spring Boot Hibernate SQL,Backend Developer
Java REST API MySQL,Backend Developer
Backend Development Java SQL,Backend Developer
Spring Boot API Development,Backend Developer
Java Database Design Backend Development,Backend Developer
Java APIs Hibernate SQL,Backend Developer

AWS Docker Linux Cloud Computing,Cloud Engineer
AWS Kubernetes DevOps,Cloud Engineer
Azure Docker Linux,Cloud Engineer
Google Cloud Kubernetes,Cloud Engineer
AWS DevOps CI/CD,Cloud Engineer
Azure Cloud Computing Docker,Cloud Engineer
Google Cloud Linux DevOps,Cloud Engineer
AWS Kubernetes Cloud Computing,Cloud Engineer
Docker Linux Cloud Computing,Cloud Engineer
AWS Azure Google Cloud,Cloud Engineer
